job_id,link,apply_link,title,company,place,description,date,seniority_level,job_function,employment_type,industries
2506936296,https://www.linkedin.com/jobs/view/entry-level-marketing-assistant-at-apollo-solutions-inc-2506936296?refId=cd6d58cd-f220-48b3-91b6-7bed74f614ae&trackingId=r5wdgGYH6%2BftT5mAERS8GQ%3D%3D&position=1&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,,Entry Level Marketing Assistant,Apollo Solutions Inc.,"Framingham, MA","Purpose of Position:

The main focus of this position is to promote our clients brand names by developing and supporting field marketing programs. You will work closely with other Marketing Assistants, and corporate marketing and sales organizations to support sales activities (community outreach, campaigns, etc) and utilize your marketing expertise to help develop and execute marketing programs that will increase demand and drive revenue.

Apollo Solutions’ principles make us powerful and one of the leading marketing firms in our industry. These values include leadership, vision, and grit.

Leadership: Leadership is not a position or a title, it is action and example. We put our team in front of our own personal gain, we make sure their success is acquired before we look at our own needs to ensure momentum.
Vision: To sustain focus on a vision, one must be willing and able to innovate. Our team’s vision stays clear and our innovative culture is embraced by our top management and flows through the organization effortlessly.
Grit: Hard-work, grit, relentlessness; these are merely just a few characteristics of the team here at Apollo Solutions.

Primary Duties:

Impacts sales results by developing, supporting, and executing field marketing and segment activities.
Executes Marketing campaigns depending on expertise.
Works with appropriate clients to support campaigns.
Works with various corporate/field marketing managers to determine appropriate customized programs and strategies for various market segments.
Provides coordination and project management to ensure campaign success.
Once the management capacity is reached, they may also attend these events as required.
Monitors the use of existing sales tools.
Provides input on requirements for additional tools.
Publicizes clients and works with Account Development to raise awareness and drive high levels of attendance and participation by the targeted audience.
Advises on new ideas to generate revenue for various clientele

Desired Skills

& Knowledge:

1-2 years experience or training in marketing or sales preferred, but willing to make exceptions for the right candidate
Experience in customer service or other people-oriented fields desired
Sales experience a plus
Exceptional organizational and project management skills
Exceptional communication skills
Ability to work independently and within a team environment
Desire to succeed

Powered by JazzHR

wUm6boGj84
Show moreShow less",2021-04-16,Entry level,"Marketing, Sales",Full-time,"Marketing and Advertising, Public Relations and Communications, Management Consulting"
job_id,link,apply_link,title,company,place,description,date,seniority_level,job_function,employment_type,industries
2506928599,https://www.linkedin.com/jobs/view/program-assistant-at-mhp-massachusetts-housing-partnership-2506928599?refId=cd6d58cd-f220-48b3-91b6-7bed74f614ae&trackingId=mdNqwA3z1Dfwf7eCkbQdiQ%3D%3D&position=2&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,,Program Assistant,MHP (Massachusetts Housing Partnership),"Boston, MA","Purpose of Position:

The main focus of this position is to promote our clients brand names by developing and supporting field marketing programs. You will work closely with other Marketing Assistants, and corporate marketing and sales organizations to support sales activities (community outreach, campaigns, etc) and utilize your marketing expertise to help develop and execute marketing programs that will increase demand and drive revenue.

Apollo Solutions’ principles make us powerful and one of the leading marketing firms in our industry. These values include leadership, vision, and grit.

Leadership: Leadership is not a position or a title, it is action and example. We put our team in front of our own personal gain, we make sure their success is acquired before we look at our own needs to ensure momentum.
Vision: To sustain focus on a vision, one must be willing and able to innovate. Our team’s vision stays clear and our innovative culture is embraced by our top management and flows through the organization effortlessly.
Grit: Hard-work, grit, relentlessness; these are merely just a few characteristics of the team here at Apollo Solutions.

Primary Duties:

Impacts sales results by developing, supporting, and executing field marketing and segment activities.
Executes Marketing campaigns depending on expertise.
Works with appropriate clients to support campaigns.
Works with various corporate/field marketing managers to determine appropriate customized programs and strategies for various market segments.
Provides coordination and project management to ensure campaign success.
Once the management capacity is reached, they may also attend these events as required.
Monitors the use of existing sales tools.
Provides input on requirements for additional tools.
Publicizes clients and works with Account Development to raise awareness and drive high levels of attendance and participation by the targeted audience.
Advises on new ideas to generate revenue for various clientele

Desired Skills

& Knowledge:

1-2 years experience or training in marketing or sales preferred, but willing to make exceptions for the right candidate
Experience in customer service or other people-oriented fields desired
Sales experience a plus
Exceptional organizational and project management skills
Exceptional communication skills
Ability to work independently and within a team environment
Desire to succeed

Powered by JazzHR

wUm6boGj84
Show moreShow less",2021-04-16,Entry level,"Marketing, Sales",Full-time,"Marketing and Advertising, Public Relations and Communications, Management Consulting"
job_id,link,apply_link,title,company,place,description,date,seniority_level,job_function,employment_type,industries
2507109969,https://www.linkedin.com/jobs/view/assistant-planner-at-jimmy-choo-2507109969?refId=cd6d58cd-f220-48b3-91b6-7bed74f614ae&trackingId=4F%2ByUUuqyw76QI1CFgNu2Q%3D%3D&position=3&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,,Assistant Planner,Jimmy Choo,New York City Metropolitan Area,"About Us:

MHP works with communities, developers and borrowers to create innovative policy and financing solutions that provide affordable homes and better lives for the people of Massachusetts. At MHP, we celebrate diversity and are committed to creating an inclusive environment for all employees.

 

Job Overview:

MHP’s Community Assistance team provides support to communities and nonprofits for the production of affordable family housing across the state and, internally, support to MHP’s lending team for the 40B PEL process. This support includes; state-level policy work, trainings, workshops, publications, and direct and third-party technical assistance as well as research at the community level regarding zoning and key benchmarks. The Program Assistant provides administrative support for the team and key initiatives including program accounting and contracting, coordination of trainings, workshops and publications, and creation of presentations, electronic and hard-copy resources and zoning and community research.

Specific Responsibilities Include:

Workshops and Trainings – Lead organizing effort for workshops and trainings. Schedule, manage and support necessary meetings for content. Provide consistent and reliable administrative and logistical support for 8 – 10 virtual and in-person workshops and regional meetings, including the annual Housing Institute. Support includes helping to define content, identifying and booking/managing site if in-person, brochure production, mail and e-mail distribution, registration, production of handouts, budget management.
Attend and support quarterly meetings with public and private partners regarding training needs and opportunities.
Provide support for MHP’s 40B technical assistance program, including contracts and billing management
40B technical assistance program support
Create and Manage contracts and invoices for consultants
Review applications for completeness
Administrative support for tracking consultant contracts, invoices, reconciliation of accounts with Finance, and draft annual reporting
Report production – conduct internet, interview and other research for necessary data gathering for topic specific research for written and visual reports and presentations.
Manage reporting, contracts, and budgeting requirements for all grant programs. Including outreach to grantees and consultants to ensure timely reports, initiating check requests and managing ongoing budget. Analyze and adjust, as needed, contract scope of services. Attend and participate in necessary meetings (‘kick-off’ meetings in particular).
General support for presentations, as needed, for senior staff
Draft reports of all Community Assistance programs including monthly Public Affairs report and quarterly Board report.
Point person for Housing Toolbox website for updates and loading new content
Team point person for Communications
General support for Community Assistance Team and MHP
Represent the Team and agency at internal and external meetings
Serve as the initial contact person for general inquiries ensuring the mission of MHP is effectively communicated in all interactions.
Other duties as assigned to achieve the mission of MHP.




Qualifications: 

·        Bachelor’s degree , 3 years equivalent experience or intermediate working knowledge of affordable housing

·        Excellent written and verbal communication skills

·        Excellent excel, power point and database skills, GIS preferred or willingness to learn GIS

·        Basic accounting or bookkeeping knowledge

·        Valid driver’s license

·        Demonstrated ability to work independently and juggle multiple priorities

·        Understanding, commitment and support of MHP’s Diversity, Equity and Inclusion focus and actions

·        Demonstrated interest and commitment to affordable housing

·        Excellent organizational and time management skills

·        Real estate and/or land use planning interest preferred

 

Job and Physical Requirements (with or without accommodation): 

·        Must be able to climb, reach, stand, walk, talk, hear and be capable of repetitive motion

·        Position requires exerting up to 10 pounds of force occasionally and/or negligible amount of force constantly.

·        Work requires close visual acuity.

·        Position is not substantially exposed to adverse environmental conditions.

·        Valid driver’s license or ability to obtain one and/or reliable means of transportation.

 

·        Other Duties

·        Please note this job description is not designed as a comprehensive listing of activities, duties or responsibilities that are required of the employee for this job. Duties, responsibilities, and activities may change at any time with or without notice.

MHP is an equal opportunity employer and is committed to creating an inclusive environment for all employees. MHP does not make hiring decisions based on age, race, gender, religion, disability or any other characteristic protected by applicable law.

The above is intended to describe the general content of and requirements for the performance of this job. It is not designed as a comprehensive statement of duties, responsibilities or physical requirements. Nothing in this job description restricts management’s right to assign or reassign duties and responsibilities to this job at any time. 

Show moreShow less",2021-04-16,Entry level,Other,Full-time,Real Estate
job_id,link,apply_link,title,company,place,description,date,seniority_level,job_function,employment_type,industries
2506955638,https://www.linkedin.com/jobs/view/onboarding-specialist-at-university-system-of-nh-2506955638?refId=cd6d58cd-f220-48b3-91b6-7bed74f614ae&trackingId=57tQn8gS%2BTBSw7l8w2E20A%3D%3D&position=4&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,,Onboarding Specialist,University System of NH,"Durham, NH","Retail Merchandise Assistant Planner

Overview:

﻿

The Assistant Merchandise Planner is a key position within the Retail Department reporting to the Head of Planning. They will provide support to achieve financial merchandise strategies to maximize sales, profit, inventory, and turn objectives for Jimmy Choo Retail, Online and Outlet stores for US and Canada. The ability to work independently, detect and interpret trends, and draw inferences on how to grow a healthy business will be imperative.




Responsibilities:




Reporting & Analysis:

Manage and execute detailed daily/ weekly/monthly merchandise and store reports as well as any ad hoc reporting needs
Pre/In/Post seasonal analysis to identify successes and opportunities by class, depth, sku, and sell thru.
Participate buy prep and OTB processes
Identify and recommend strategies to improve sales vs stock opportunities through reorders, transfers and receipt monitoring




Outlet:

Monitor Outlet inventory flow and assortment for seasonal and Core styles to maximize readiness for key selling periods.
Analyze and propose monthly Outlet promotion strategies to drive sales during key traffic times.
Maintain and manage pricing updates according to seasonal and markdown strategy.




Allocations:

Ensure the most profitable decisions are taken on assortments, by maximizing owned inventory, monitoring receipt flow, stock rotation, & months/weeks on-hand
Manage SAP auto-replenishment program, implementing new styles and adjusting templates by season and by store.
Maintain strong relationships with field teams and stores on inventory/replenishment, current business trends as well as opportunities to proactively drive future business.




Warehouse & Logistics:

Monitor overall warehouse inventory levels to ensure adequate service levels and capacity
Track inbound/outbound merchandise, liaise with Logistics to ensure timely shipping and prioritization
Liaise with Logistics and IT teams to maintain accurate inventory database.
Manage and supervise department interns.




Qualifications:




Bachelor’s Degree
3-4 years retail planning experience with merchandising, planning, forecasting and allocation in a retail environment.
Highly competent in Microsoft Office, Excel (Proficiency with Macros preferred)
Ability to self-manage and deliver against objectives while working with tight deadlines
Strong analytical skills. Highly organized and ability to adapt to quickly changing priorities
Articulate with excellent communication style - Dynamic, confident and enthusiastic communicator
Experience in Luxury Retail and SAP systems a plus

Show moreShow less",2021-04-16,Associate,Strategy/Planning,Full-time,"Luxury Goods & Jewelry, Apparel & Fashion, Retail"
job_id,link,apply_link,title,company,place,description,date,seniority_level,job_function,employment_type,industries
2507021131,https://www.linkedin.com/jobs/view/training-coordinator-at-anthem-inc-2507021131?refId=cd6d58cd-f220-48b3-91b6-7bed74f614ae&trackingId=k7NIGDkwHr%2BQWH7sbv696A%3D%3D&position=5&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,https://www.linkedin.com/jobs/view/externalApply/2506955638?url=https%3A%2F%2Fjobs%2Eusnh%2Eedu%2Fpostings%2F40120&urlHash=1j1r&refId=cd6d58cd-f220-48b3-91b6-7bed74f614ae&trackingId=57tQn8gS%2BTBSw7l8w2E20A%3D%3D&trk=public_jobs_apply-link-offsite,Training Coordinator,"Anthem, Inc.","Woburn, MA","Summary Of Position

Onboarding Specialists are responsible for the administration and operational support of the recruitment process by creating the best onboarding experience for every new employee joining USNH . This is achieved by ensuring a seamless onboarding experience, drafting offer letters, initiating and completing pre-boarding documentation, and handling all other new hire onboarding tasks from offer to orientation.

Additional Job Information

Other minimum qualifications

Associate degree and 3 years of professional experience in HR or a related field, or combination of higher education and professional experience equivalent to 5 years. Three additional years of experience may replace the Associate degree requirement.
Strong critical thinking ability, organizational, time management and problem-solving skills. Must take ownership and accountability of processes.
Ability to drive processes forward in clear, concise, and appropriate manner.
Proven ability to manage competing priorities and multi-task in a high-volume environment while adhering to strict deadlines.
Is action oriented and sees challenges as opportunities for growth and positive development of self, others, and processes.
Demonstrated knowledge of NH and Federal employment laws.
Demonstrated knowledge and proficiency of HR processes, data, and systems.
Demonstrated ability and commitment to excellent customer service and to developing and maintaining effective working relationships with internal and external clients.
A communication style that is welcoming.
Able to maintain confidential information.
Familiarity with one or more applicant tracking systems and/or HRIS systems

Additional Preferred Qualifications

Salary Information
Salary is complemented by a comprehensive benefits package which includes medical, dental, retirement, tuition, and paid time off.

EEO Statement
The University System of New Hampshire is an Equal Opportunity/Equal Access/Affirmative Action employer. The University System is committed to creating an environment that values and supports diversity and inclusiveness across our campus communities and encourages applications from qualified individuals who will help us achieve this mission. The University System prohibits discrimination on the basis of race, color, religion, sex, age, national origin, sexual orientation, gender identity or expression, disability, veteran status, or marital status, genetic information, and political orientation. Application by members of all underrepresented groups is encouraged. Hiring is contingent upon eligibility to work in the U.S.
Show moreShow less",2021-04-16,Entry level,Other,Full-time,"Nonprofit Organization Management, Higher Education, Education Management"
